ID,message
22,"오래된 물건에는 기능보다 시간이 더 많이 들어 있다. 모서리가 닳은 책, 손에 익은 컵, 오래 사용해 색이 바랜 가방처럼 새것보다 불편한데도 쉽게 버리지 못하는 것들이 있다. 그 물건이 특별해서라기보다 함께 지나온 시간이 기억의 일부가 되었기 때문이다. 사람의 마음도 비슷한 면이 있다. 완벽해서 오래 남는 것이 아니라 익숙한 순간들이 쌓여 의미가 생긴다. 처음에는 눈에 띄지 않던 작은 특징까지 자연스럽게 알아가고, 어느 순간 그 익숙함 자체가 반가워진다. 오래된다는 건 낡아가는 일인 동시에 서로에게만 보이는 이야기가 늘어나는 일이기도 하다."
23,"누군가의 칭찬을 들었을 때 '아니에요'부터 말하지 않았으면 좋겠다. 네가 잘해서 받은 말이라면 잠깐이라도 그대로 받아도 된다. 스스로를 낮추지 않아도 겸손할 수 있고, 잘한 일을 잘했다고 인정해도 여전히 좋은 사람일 수 있다."
24,생각하는 습관은 삶에 주어진 수많은 환경 중에서 스스로 완벽히 통제할 수 있는 유일한 대상이다.
25,"정리된 방에 들어갔을 때 마음까지 조금 가벼워지는 순간이 있다. 물건의 자리가 바뀌었을 뿐인데 머릿속까지 정돈된 것처럼 느껴진다. 반대로 마음이 복잡한 날에는 책상 위 작은 어지러움조차 유난히 거슬리기도 한다. 환경과 감정은 생각보다 가까이 붙어 있는 것 같다. 거대한 결심이 어려운 날에는 눈앞의 작은 공간부터 정리하는 일이 도움이 될 때가 있다. 서랍 하나를 비우고, 오래된 종이를 버리고, 창문을 열어 공기를 바꾸는 정도면 충분하다. 삶 전체를 한 번에 바꿀 수는 없어도 지금 머물고 있는 한 평의 분위기는 바꿀 수 있다. 시간이 지난 뒤 돌아보면 그때는 보이지 않던 의미가 새롭게 보이는 경우도 있다. 그래서 지금의 판단을 마지막 결론처럼 단단히 굳혀둘 필요는 없다."
26,"첫눈을 기다리는 시간에는 아직 내리지 않은 눈이 이미 하루의 일부가 된다. 날씨를 자꾸 확인하고, 창밖을 한 번 더 바라보고, 평소보다 차가운 공기에도 괜히 기대가 생긴다. 실제로 눈이 내리는 시간은 몇 시간뿐일지 몰라도 기다림은 그보다 훨씬 오래 마음을 움직인다. 좋아하는 것을 기다리는 일도 비슷하다. 아직 오지 않은 순간 때문에 현재가 조금 설레고, 평범한 날에도 작은 의미가 생긴다. 기다림이 너무 길어 지치지만 않는다면 그 시간까지도 좋은 기억의 일부가 될 수 있다. 행복은 도착한 순간에만 있는 것이 아니라 다가오는 것을 기대하는 동안에도 이미 시작되고 있는지도 모른다."
27,"기대는 마음을 움직이게 하지만 너무 구체적인 모양을 갖는 순간 상대를 묶기도 한다. 좋은 결과를 바라는 마음과 반드시 그 결과를 내야 한다고 요구하는 마음 사이에는 생각보다 큰 차이가 있다. 누군가에게 기대를 건넬 때는 그 사람이 기대와 다른 선택을 할 자유까지 함께 남겨둘 필요가 있다. 기대는 응원의 다른 이름이 될 수도 있지만, 상대가 실패할 수 없는 이유가 되어서는 안 된다. 좋은 마음은 사람을 앞으로 밀어주기도 하지만 때로는 그대로 있어도 괜찮다는 공간을 만들어주기도 한다. 무엇을 바라느냐만큼 그 바람에서 상대가 얼마나 자유로운지도 중요하다."
28,"좋은 하루를 만드는 데 큰 사건이 필요한 것은 아니다. 아침에 생각보다 개운하게 눈을 뜨고, 입고 나온 옷이 마음에 들고, 주문한 음식이 기대보다 맛있고, 집으로 돌아가는 길에 좋아하는 노래가 나오는 정도면 하루의 표정이 꽤 달라진다. 이런 일들은 너무 작아서 좋은 일의 목록에서 자주 빠지지만 실제 기분에는 분명한 영향을 준다. 행복을 기다릴 때 거대한 변화만 바라보면 이미 지나가고 있는 작은 행운을 놓치기 쉽다. 평범한 날에 숨어 있는 좋은 것을 알아보는 감각은 생각보다 중요하다. 삶의 대부분은 특별한 날보다 평범한 날로 이루어져 있기 때문이다."
29,"다른 사람이 너를 어떻게 평가하는지는 매번 달라질 수 있지만 네가 지나온 시간은 사라지지 않는다. 오래 노력했고, 여러 번 다시 시작했고, 결국 여기까지 왔다는 사실. 자신감이 필요한 날에는 그 사실부터 믿어도 충분하다."
30,"당신이 잘 됐으면 좋겠습니다. 이유 불문하고 그냥 잘 됐으면 좋겠습니다. 하는 일마다 잘 풀리고, 한 만큼보다 많이 돌아왔으면 좋겠습니다. 운도 좀 따라줘서 남몰래 갈고닦은 실력이 제대로 빛을 발하면 좋겠습니다. 무엇보다 이제는 그만 좀 고생하고, 조금은 덜 힘들었으면 좋겠습니다. ""아, 이래서 내가 힘들었구나""했었던 때에 이 악물고 버틴 시간들이 내겐 조금만 더 급하게 지나갔으면 좋겠습니다. 그게 긴 연휴 이후에 시간이라면 더할 나위 없겠습니다. 마음이 여유로워지고 행복한 시간이 선물처럼 주어지면 좋겠습니다. 시간을 미워하지 않고 좋은 소식만 들었으면 좋겠습니다."
31,"맛있는 걸 먹을 때는 칼로리보다 맛을 먼저 생각하고, 좋은 풍경 앞에서는 사진보다 눈으로 한 번 더 보고, 재미있는 일이 생기면 체면보다 크게 웃었으면 좋겠다. 가끔은 삶을 잘 사는 것보다 제대로 즐기는 게 더 중요한 날도 있다."
32,좋아하는 계절이 돌아올 때마다 그 계절을 함께 기억하게 되는 사람이 생기기도 한다. 특정한 날이 아니어도 바람의 온도나 하늘의 색만으로 문득 떠오르는 사람. 기억은 그렇게 평범한 풍경 속에 오래 머무는 것 같다.
33,"무엇이든 시작했으면 끝까지 해야 한다는 말이 언제나 옳은 것은 아니다. 오래 했다는 이유만으로 계속해야 하고, 그만두면 그동안의 시간이 모두 낭비가 된다고 생각하면 삶은 과거의 선택에 쉽게 묶인다. 충분히 해본 뒤 더 이상 자신에게 맞지 않는다는 것을 알았다면 멈추는 것도 하나의 선택이다. 방향을 바꾼다고 이전의 시간이 사라지는 것은 아니다. 그 시간을 지나며 무엇을 좋아하고 무엇을 견디기 어려운지 알게 되었다면 이미 중요한 정보를 얻은 셈이다. 계속하는 용기만큼 그만두는 용기도 필요하다. 삶의 방향은 한 번 정하면 끝나는 것이 아니라 살아가며 여러 번 다시 정할 수 있다."
34,"새로운 일을 앞두고 불안한 건 잘하고 싶다는 마음이 있기 때문일 때가 많다. 그러니 떨린다는 이유로 준비가 부족하다고 단정하지 않았으면 좋겠다. 긴장한 채로도 충분히 잘할 수 있고, 시작한 뒤에야 생기는 용기도 있으니까."
35,예상하지 못한 빈 시간이 생기면 처음에는 무엇을 해야 할지 몰라 휴대폰부터 들여다보게 된다. 약속이 취소되거나 일이 일찍 끝난 날처럼 갑자기 생긴 몇 시간은 계획표에 없던 시간이라 어색하다. 하지만 그런 틈에서 오히려 오래 미뤄둔 산책을 하거나 아무 목적 없이 서점에 들르는 일이 생긴다. 모든 시간을 효율적으로 사용하려고 하면 우연이 들어올 자리가 줄어든다. 아무것도 정해지지 않은 시간에는 계획으로는 만나지 못했을 장면이 들어오기도 한다. 삶에는 채워진 일정만큼 비어 있는 여백도 필요하다. 예상하지 못한 좋은 일은 대개 그런 틈을 통해 들어온다.
36,"좋은 사람을 곁에 두어야 하는 이유는 닮아가기 때문이다. 사랑해도 닮고, 미워해도 닮는다. 자식이 부모를 닮는 것처럼. 끼리끼리 친구인 것처럼. 그들이 모여 나의 세상을 만들고, 나의 삶을 변화시킨다. 사랑을 잘 주고받는 사람이 곁에 있으면 내 사랑도 용감해지고, 나를 믿어주는 사람이 곁에 있으면 나도 나를 믿게 된다. 배려와 위로도 받아본 사람이 건넬 수 있고, 사람 귀한 줄 아는 사람만이 관계도 소중히 여긴다. 그들은 긍정과 사랑을 일파만파 퍼뜨려 웃음을 옮긴다. 용기를 나눈다. 좋은 사람들이 가진 힘이 이렇게나 크다. 힘든 하루도 이겨내게 하는 힘, 고된 일도 견디게 하는 힘. 사람 힘든 것보다 일이 힘든 게 낫다는 게 이런 걸까. 좋은 사람들 덕분에 버틸 수 있는 세상, 덕분에 내 삶이 나아지는 기분은 내가 더 좋은 사람이 될 수 있도록 노력하게 만든다. 사람은 이토록 사람과 사랑으로 살아낸다."
37,"사람에게는 아무에게도 설명하고 싶지 않은 날이 있다. 무슨 일이 있었는지 묻는 말조차 대답을 준비해야 하는 숙제처럼 느껴지고, 위로를 받는 일마저 피곤하게 다가오는 날이다. 그런 때에는 혼자 있고 싶은 마음도 하나의 필요로 존중받아야 한다. 누군가를 걱정한다고 해서 그 사람의 모든 사정을 알아야 하는 것은 아니다. 말하고 싶을 때 말할 수 있다는 믿음만 남겨두고 한동안 묻지 않는 것도 관심의 방식이 될 수 있다. 침묵을 허락받는 관계에서는 굳이 괜찮은 척하지 않아도 된다. 때로는 아무것도 요구하지 않는 여백이 가장 편안한 위로가 된다."
38,네가 좋은 결과를 얻는 날에는 그동안 얼마나 애썼는지까지 함께 축하하고 싶다. 하지만 결과가 아쉬운 날에도 지나온 시간이 없어지는 건 아니라고 말하고 싶다. 응원은 순위나 점수에 따라 크기가 달라지는 마음이 아니니까.
39,"계획한 일이 하나씩 어긋나는 날이 있다. 늦잠으로 시작해 물건을 두고 나오고, 하려던 일은 예상보다 오래 걸리고, 평소라면 넘겼을 말에도 괜히 마음이 상한다. 그런 날에는 오전의 몇 장면만으로 하루 전체가 이미 망했다고 결론 내리기 쉽다. 하지만 하루는 생각보다 길고, 감정은 생각보다 자주 방향을 바꾼다. 엉망이었던 오전 뒤에 뜻밖에 맛있는 저녁을 먹을 수도 있고, 무거웠던 마음이 우연히 들은 노래 한 곡에 조금 풀릴 수도 있다. 한 부분이 마음에 들지 않는다고 아직 오지 않은 시간까지 같은 색으로 칠할 필요는 없다. 하루에는 생각보다 여러 번 다시 시작할 기회가 있다."
40,"나에게 좋은 인연은

때론 휴식이 되고, 때론 길이 되어주는 사람이다.

그게 어디든 함께 있다는 이유로 쉼이 되는 사람. 주고받는 눈빛으로 그간의 짐들을 덜어내기도, 말 한마디로 엉켜 있던 마음을 풀어내기도 하는 인연이 있다는 건 얼마나 귀한 일인가.

내가 모르는 내 모습까지 찾아내 나를 더 나답게 만들어 주는 사람.

함께 있을 때 아이처럼 장난치다가도 필요한 순간엔 누구보다 어른인 사람. 

더 나은 모습으로 곁에 있고 싶어지는, 흔들릴 때마다 다시 나아갈 이유를 떠올리게 하는 그런 사람이다."
41,"나는 할 수 있다.
할 수 있다.
할 수 있다.

못하면 뭐 어쩌라고.
또 하는 거지. 

뭐가 대수라고."
42,실패하지 않는 방법을 찾다 보면 아무것도 시작하지 못할 때가 있다. 잘못될 가능성을 없애는 대신 잘못되어도 다시 해볼 수 있다는 믿음을 갖는 편이 더 현실적인 용기인지도 모른다. 네게 그런 믿음이 조금씩 쌓였으면 좋겠다.
43,"평범한 날에만 가능한 행복도 있다. 특별한 일정 없이 늦잠을 자고, 익숙한 음식을 먹고, 보고 싶었던 걸 보다가 졸리면 자는 하루. 기억에 오래 남지 않아도 마음을 회복시켜 주는 날들이 자주 있었으면 좋겠다."
44,"생각이 깊은 사람이 좋다. 그런 사람들은 굳이 애쓰지 않아도 일상에서 그 태도가 자연스레 배어 나온다. 자신보다 곁에 있는 사람을 먼저 헤아리고, 좋은 것을 슬쩍 양보할 줄 안다. 어떤 이들은 이를 대수롭지 않게 여기지만, 나는 안다. 그것이 얼마나 다정하고도 치열한 일인지. 
우리는 그런 사람들 덕분에 알게 모르게 위로를 받고, 일상의 편안함을 누린다. 그러니 그 다정함을 결코 당연한 것으로 여겨선 안 된다. 내게 닿은 온기를 무심히 흘려보내지 않고, 적절한 때에 다시 돌려주는 것. 그것이야말로 그 귀한 마음에 응답하는 유일한 예의이자, 좋은 사람 곁에 오래도록 머무는 가장 확실한 비결이다."
45,"오늘 하루에 마음에 드는 장면 하나만 남아도 좋겠다. 햇빛이 예뻤던 창가, 맛있었던 한 끼, 웃겨서 한참 웃었던 대화처럼. 나중에 오늘을 떠올렸을 때 그 장면이 다른 피곤한 기억보다 먼저 나타났으면 좋겠다."
46,"과거의 선택을 지금의 기준으로 너무 오래 혼내지 않았으면 좋겠다. 그때의 너에게는 지금 알고 있는 정보도, 지금 가진 여유도 없었을 테니까. 그 순간의 자신이 할 수 있었던 최선을 조금은 믿어줘도 괜찮다."
47,"잘되는 날의 모습만 좋아하고 싶지는 않다. 마음대로 되지 않아 속상한 날도 있고, 아무리 애써도 결과가 따라오지 않는 날도 있을 테니까. 그런 날까지 지나 다시 자기 자리에 서는 모습을 오래 응원하고 싶다."
48,"누구에게 보여주기 위한 성장이 아니라 네가 스스로 편해지는 방향의 성장이었으면 좋겠다. 더 잘해야 해서가 아니라 덜 불안하고, 덜 미워하고, 조금 더 자유롭게 살기 위해 나아가는 것. 그런 변화라면 천천히 와도 충분히 좋다."
49,"마음에도 꼬리가 있었으면 좋겠다.
무뚝뚝해 보여도, 얼마나 좋아하는지 네가 바로 알 수 있게.
얼마만큼 기다렸는지, 또 그토록 보고 싶었는지 알 수 있게.
자꾸 감추고 싶은 마음, 나도 모르게 밖으로 새어 나가서 네가 단번에 알아차릴 수 있게."
50,"좋은 풍경을 보면 누군가에게 보여주고 싶어지는 순간이 있다. 하늘의 색이 유난히 선명하거나 길가의 꽃이 생각보다 예쁘게 피었을 때, 좋은 노래를 우연히 발견했을 때도 비슷하다. 꼭 같은 장소에서 함께 보고 들어야 하는 것은 아니다. 그저 세상 어딘가에 이런 좋은 것이 있다는 사실을 그 사람도 알았으면 하는 마음이 생긴다. 애정에는 자연스럽게 나누고 싶은 마음이 따라오는 것 같다. 내가 가진 것을 건네고 싶다기보다 내가 좋았던 순간과 비슷한 기쁨이 다른 사람의 하루에도 한 번쯤 생겼으면 하는 마음. 그렇게 생각하면 다정함은 소유보다 공유에 가까운 감정인지도 모른다."
51,"누군가의 존재가 내 일상을 직접 바꾸지 않아도 삶을 조금 즐겁게 만들 수 있다는 게 신기하다. 기다리는 경기나 무대가 생기고, 우연히 본 사진 한 장에 기분이 좋아진다. 그런 작고 좋은 변화들을 만들어줘서 고맙다는 생각이 든다."
52,"어떤 변화는 매일 봐서는 잘 보이지 않는다. 어느 날 문득 예전의 나와 비교했을 때 비로소 알게 된다. 예전보다 덜 불안하고, 조금 더 쉽게 웃고, 실패 뒤에 다시 시작하는 시간이 짧아졌다면 이미 꽤 많이 달라진 것이다."
53,"하루를 망쳤다는 생각이 들어도 하루는 생각보다 길고, 한 장면이 전부를 대표하지 않는다. 오전이 엉망이어도 저녁은 괜찮을 수 있고, 오늘이 별로여도 내일은 전혀 다를 수 있다. 너무 빨리 하루 전체에 점수를 매기지 않았으면 좋겠다."
54,"가을이 오면 지나간 시간이 갑자기 눈에 보이는 것처럼 느껴진다. 해가 짧아지고 공기의 냄새가 달라지면 올해 초에 했던 생각들이 벌써 오래전 일처럼 멀어진다. 계획대로 흘러간 일도 있을 것이고, 예상하지 못한 방향으로 완전히 바뀐 일도 있을 것이다. 지나온 시간을 돌아볼 때 사람은 이상하게 이루지 못한 것부터 세지만, 계절을 건너 여기까지 왔다는 사실도 꽤 중요한 기록이다. 모든 계절을 성취로 채울 필요는 없다. 특별한 사건이 없었더라도 마음에 남는 장면 몇 개와 다시 떠올리고 싶은 하루가 있었다면 그 시간은 충분히 자기 몫을 한 셈이다."
55,"좋은 하루가 어떤 모습인지는 사람마다 다르다. 누군가에게는 큰 성취가 있는 날이 가장 좋은 하루일 수 있고, 다른 누군가에게는 아무 일정 없이 조용히 쉬는 날이 더 소중할 수 있다. 그래서 타인의 기준으로 하루의 만족도를 재기 시작하면 정작 자신이 무엇을 좋아하는지 놓치기 쉽다. 하루가 끝났을 때 크게 자랑할 일은 없어도 마음이 지나치게 지치지 않았고, 다시 살아도 아주 싫지는 않을 정도라면 꽤 괜찮은 하루였을지 모른다. 삶의 만족은 특별한 날의 개수보다 평범한 날을 얼마나 편안하게 보낼 수 있는지에 더 많이 달려 있을 수도 있다."
56,"좋아한다는 말을 꼭 크게 해야만 마음이 전해지는 건 아닐 것이다. 잘됐으면 좋겠다는 생각, 아프지 않았으면 하는 걱정, 좋은 소식을 들었을 때 먼저 드는 기쁨. 어쩌면 마음은 그런 작은 반응 속에서 이미 충분히 말하고 있는지도 모른다."
57,"마음이 복잡할수록 이유를 하나로 정리하고 싶어진다. 왜 기분이 좋지 않은지, 왜 어떤 사람이 신경 쓰이는지, 왜 예전과 같은 일이 즐겁지 않은지 명확한 답을 찾으면 해결할 수 있을 것 같기 때문이다. 하지만 감정은 여러 이유가 겹쳐 생기는 경우가 많고 때로는 정확한 원인을 찾지 못한 채 지나가기도 한다. 모든 마음에 이름을 붙이고 설명을 완성해야만 이해한 것은 아니다. 오늘은 그냥 피곤해서, 여러 작은 일이 겹쳐서, 혹은 특별한 이유 없이 마음이 흐릴 수도 있다. 모르는 상태를 잠시 견디는 것도 자신을 이해하는 과정의 일부다. 시간이 지난 뒤 돌아보면 그때는 보이지 않던 의미가 새롭게 보이는 경우도 있다. 그래서 지금의 판단을 마지막 결론처럼 단단히 굳혀둘 필요는 없다."
58,"비가 그친 뒤의 길은 평소보다 색이 선명하다. 젖은 나무와 아스팔트가 빛을 받아 반짝이고, 공기에는 비가 오기 전과 다른 냄새가 남는다. 같은 장소인데 잠깐의 비를 지나고 나면 전혀 다른 풍경처럼 보인다. 사람의 시간에도 그런 순간이 있는 것 같다. 힘든 일을 지나고 난 뒤 이전과 똑같은 일상이 돌아왔는데도 전에는 보이지 않던 것이 눈에 들어온다. 어려움이 반드시 사람을 더 나은 방향으로 바꾼다고 말할 수는 없지만, 지나온 시간 때문에 세상을 보는 감각이 달라질 수는 있다. 비가 모든 것을 새롭게 만드는 것이 아니라, 익숙한 것을 다시 보게 만드는 것처럼."
59,"남들과 비교하면 언제든 부족한 이유를 찾을 수 있다. 나보다 빠른 사람도, 잘하는 사람도 끝없이 있으니까. 그래서 비교의 기준을 가끔은 어제의 나로 돌렸으면 좋겠다. 조금 더 편안해졌다면 그것도 아주 좋은 변화다."
60,"좋아하는 마음이 꼭 가까워지는 방향으로만 움직여야 하는 건 아니라고 생각한다. 때로는 멀리서 잘되기를 바라고, 상대가 편안한 만큼만 마음을 건네는 것도 충분하다. 좋은 마음이라면 그 사람의 자유까지 함께 좋아할 수 있었으면 한다."
61,"인연이라는 말을 꼭 오래 함께한 관계에만 붙일 필요는 없을 것 같다. 짧게 스쳐갔지만 오래 기억나는 사람이 있고, 많은 대화를 나누지 않았는데도 삶의 한 시기를 즐겁게 만들어준 사람이 있다. 직접적인 관계가 끝난 뒤에도 그때 알게 된 취향이나 생각이 남아 이후의 삶에 영향을 주기도 한다. 만남의 가치는 얼마나 오래 이어졌는지만으로 정해지지 않는다. 어떤 시간에 어떤 마음을 남겼는지가 더 중요할 때도 있다. 그렇게 생각하면 삶에는 예상보다 많은 좋은 인연이 존재한다. 오래 머문 사람뿐 아니라 잠시 지나가며 좋은 방향을 알려준 사람도 한 시절을 함께 만든 인연이라고 부를 수 있을 것이다."
62,"열심히 한다는 말을 자신을 끝까지 몰아붙이는 일과 같은 뜻으로 사용하지 않았으면 한다. 오래 하기 위해 속도를 조절하고, 몸이 보내는 신호를 알아차리고, 집중력이 바닥났을 때 잠시 멈추는 것도 일을 진지하게 대하는 방식이다. 하루를 더 버티는 것보다 몇 년 뒤에도 같은 일을 계속할 수 있는 상태를 만드는 것이 중요할 때가 많다. 특히 좋아하는 일일수록 쉬는 순간에 죄책감을 느끼기 쉽지만, 좋아하는 마음도 소모될 수 있다. 오래 좋아하기 위해서는 실력뿐 아니라 자신을 돌보는 기술도 필요하다. 휴식은 열정의 반대가 아니라 열정을 오래 유지하기 위한 한 부분일 수 있다."
